,Config_mem,Mem_avg_clust,Mem_max_utilized,Mem_min_utilized,Number_of_hosts,Server_class
0,48.0,11.458333333333332,20.833333333333332,4.166666666666667,12.0,ETA-BE-APP.ETA-BE-APP-PROD-ED1-101
1,48.0,12.5,18.75,4.166666666666667,4.0,ETA-BE-APP.ETA-BE-APP-PROD-ED5-101
2,16.0,12.5,12.5,12.5,2.0,ETA-BE-CUSTOM.ETA-BE-CUSTOM-PROD-ED1-101
3,16.0,12.5,12.5,12.5,2.0,ETA-BE-CUSTOM.ETA-BE-CUSTOM-PROD-ED5-101
4,252.0,27.18253968253968,27.77777777777778,26.58730158730159,2.0,ETA-DB.ETA-DB-PROD-ED1-101
5,252.0,14.484126984126986,15.079365079365079,13.88888888888889,2.0,ETA-DB.ETA-DB-PROD-ED5-101
6,"6.0,8.0",63.970588235294116,66.66666666666667,62.5,19.0,ETA-FE.ETA-FE-PROD-ED1-101
7,8.0,35.9375,37.5,25.0,8.0,ETA-FE.ETA-FE-PROD-ED5-101
8,8.0,87.5,87.5,87.5,5.0,ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED1-101
9,8.0,87.5,87.5,87.5,4.0,ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED5-101
10,252.0,6.349206349206349,7.5396825396825395,5.158730158730159,2.0,ETA-FS.ETA-FS-PROD-ED1-101
11,252.0,3.1746031746031744,3.5714285714285716,2.7777777777777777,2.0,ETA-FS.ETA-FS-PROD-ED5-101
12,32.0,26.5625,50.0,3.125,2.0,ETA-HA.ETA-HA-PROD-ED1-101
13,32.0,4.6875,6.25,3.125,2.0,ETA-HA.ETA-HA-PROD-ED5-101
14,24.0,4.166666666666666,4.166666666666667,4.166666666666667,3.0,ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED1-101
15,24.0,4.166666666666666,4.166666666666667,4.166666666666667,3.0,ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED5-101
16,8.0,12.5,12.5,12.5,3.0,ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED1-101
17,8.0,12.5,12.5,12.5,3.0,ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED5-101
18,2.0,50.0,50.0,50.0,2.0,ETA-ST.ETA-ST-PROD-ED1-101
19,2.0,50.0,50.0,50.0,2.0,ETA-ST.ETA-ST-PROD-ED5-101
20,8.0,25.0,37.5,12.5,2.0,ETAWF-BE.ETAWF-BE-PROD-ED1-101
21,8.0,50.0,87.5,12.5,2.0,ETAWF-BE.ETAWF-BE-PROD-ED5-101
