Group,Server
PC-BE-PROD-ED1-101,be101.pc.prod.ed1
,be102.pc.prod.ed1
PC-DB-PROD-ED1-101,db101.pc.prod.ed1
,db102.pc.prod.ed1
PC-FE-PROD-ED1-101,fe101.pc.prod.ed1
,fe102.pc.prod.ed1
LP-RED-AUTH-PROD-ED1-01,red004.lp.prod.ed1
,red005.lp.prod.ed1
,red006.lp.prod.ed1
,red002.lp.prod.ed1
,red003.lp.prod.ed1
LP-FE-PROD-ED1-101,web001.lp.prod.ed1
,web002.lp.prod.ed1
,web003.lp.prod.ed1
,web004.lp.prod.ed1
,web005.lp.prod.ed1
SC-FE,fe001.sc.prod.ed1
,fe002.sc.prod.ed1
,fe003.sc.prod.ed1
,fe004.sc.prod.ed1
,fe005.sc.prod.ed1
,fe006.sc.prod.ed1
,fe007.sc.prod.ed1
,fe008.sc.prod.ed1
SC-REDIS,red101.sc.prod.ed1
,red102.sc.prod.ed1
,red103.sc.prod.ed1
FSA-BE-PROD-ED1-101,be101.fsa.prod.ed1
,be102.fsa.prod.ed1
,be103.fsa.prod.ed1
,be104.fsa.prod.ed1
RGT-BE-PROD-ED1-101,be101.rgt.prod.ed1
,be102.rgt.prod.ed1
,be103.rgt.prod.ed1
,be104.rgt.prod.ed1
,be105.rgt.prod.ed1
,be106.rgt.prod.ed1
,be107.rgt.prod.ed1
,be108.rgt.prod.ed1
RGT-HA-PROD-ED1-101,ha101.rgt.prod.ed1
,ha102.rgt.prod.ed1
SL-BE-PROD-ED1-101,be101.sl.prod.ed1
,be102.sl.prod.ed1
,be103.sl.prod.ed1
SL-BE-PROD-ED2-101,be101.sl.prod.ed2
,be102.sl.prod.ed2
,be103.sl.prod.ed2
SL-BE-PROD-ED5-101,be101.sl.prod.ed5
,be102.sl.prod.ed5
,be103.sl.prod.ed5
SL-DB-PROD-ED1-101,db101.sl.prod.ed1
,db102.sl.prod.ed1
SL-DB-PROD-ED2-101,db101.sl.prod.ed2
,db102.sl.prod.ed2
SL-DB-PROD-ED5-101,db101.sl.prod.ed5
,db102.sl.prod.ed5
API-FE-PROD-ED1-01,web001.api.prod.ed1
,web002.api.prod.ed1
,web003.api.prod.ed1
,web004.api.prod.ed1
API-FE-PROD-ED2-101,web101.api.prod.ed2
,web102.api.prod.ed2
API-FE-PROD-ED5-101,web101.api.prod.ed5
,web102.api.prod.ed5
,web103.api.prod.ed5
,web104.api.prod.ed5
